timestamp,Side,future_strike,MBO_pulling_stacking,current_es_price,spx_strike,t,spx_price,call_charm,call_delta,call_gamma,call_rho,call_theta,call_vanna,call_vega,call_vomma,put_charm,put_delta,put_gamma,put_rho,put_theta,put_vanna,put_vega,put_vomma
2025-04-14T09:22:00.316756-04:00,Ask,5514.337104,0.565351,546363.857466,5514.337104,0.083405,5363.36,-0.000703,0.445369,0.000549,1.806798,-4.670125,0.092122,6.120145,6.269645,-0.000703,-0.554631,0.000549,-2.790944,-4.63492,0.092122,6.120145,6.269645
2025-04-14T09:22:36.391379-04:00,Ask,5488.5,0.0,546375.0,5488.0,0.08340449010654491,5363.36,-0.0006135100587917941,0.4594805980169742,0.0005515064115702535,1.8611865254447841,-4.690959391911466,0.08039961038013516,6.1474347814517385,4.012429110824775,-0.0006135100587917941,-0.5405194019830257,0.0005515064115702535,-2.714586159345064,-4.656717909463341,0.08039961038013516,6.1474347814517385,4.012429110824775
2025-04-14T09:22:05.156085-04:00,Ask,5489.25,0.0,546350.0,5489.0,0.0834054731100964,5363.36,-0.0006169466893792674,0.4589422695941593,0.0005514265454466043,1.8591378487934156,-4.690280072986123,0.08085092876950513,6.146616986818925,4.088772970205545,-0.0006169466893792674,-0.5410577304058407,0.0005514265454466043,-2.7175225363290347,-4.656001955412368,0.08085092876950513,6.146616986818925,4.088772970205545
2025-04-14T09:22:00.316756-04:00,Ask,5490.5,0.0,546375.0,5490.0,0.08340563165905632,5363.36,-0.0006203879190885463,0.45840364361722696,0.0005513483472897553,1.8570701795807047,-4.6896149413201895,0.08130205683636445,6.1457570137735,4.165725462449554,-0.0006203879190885463,-0.541596356382773,0.0005513483472897553,-2.7204326919506934,-4.655300181035937,0.08130205683636445,6.1457570137735,4.165725462449554
2025-04-14T09:22:00.316756-04:00,Ask,5491.25,0.0,546375.0,5491.0,0.08340563165905632,5363.36,-0.0006238278149610781,0.45786510083601895,0.0005512696694202244,1.8549991370514134,-4.688945729352262,0.08175285641052549,6.144880009115963,4.243257087458495,-0.0006238278149610781,-0.542134899163981,0.0005512696694202244,-2.723337523709772,-4.654594328350607,0.08175285641052549,6.144880009115963,4.243257087458495
2025-04-14T09:22:00.316756-04:00,Ask,5492.5,0.0,546375.0,5492.0,0.08340563165905632,5363.36,-0.0006272649348598512,0.45732673344862507,0.0005511900017800874,1.852928440456618,-4.688268098672197,0.08220329219234082,6.143991971706311,4.321359935311612,-0.0006272649348598512,-0.5426732665513749,0.0005511900017800874,-2.7262420095343547,-4.653880061316658,0.08220329219234082,6.143991971706311,4.321359935311612
2025-04-14T09:22:00.316756-04:00,Ask,5493.25,0.0,546375.0,5493.0,0.08340563165905632,5363.36,-0.00063069926141898,0.45678854235719857,0.0005511093453509793,1.8508580940550632,-4.687582057629509,0.08265336190600504,6.143092912486612,4.4000329981208735,-0.00063069926141898,-0.5432114576428014,0.0005511093453509793,-2.7291461451656964,-4.653157388337323,0.08265336190600504,6.143092912486612,4.4000329981208735
2025-04-14T09:22:00.316756-04:00,Ask,5494.5,0.0,546375.0,5494.0,0.08340563165905632,5363.36,-0.0006341307773096843,0.45625052846243985,0.0005510277011191695,1.8487881020996473,-4.68688761461313,0.08310306328057536,6.142182842450588,4.479275262544468,-0.0006341307773096843,-0.5437494715375601,0.0005510277011191695,-2.732049926350899,-4.652426317855181,0.08310306328057536,6.142182842450588,4.479275262544468
2025-04-14T09:22:00.316756-04:00,Ask,5495.25,0.0,546375.0,5495.0,0.08340563165905632,5363.36,-0.0006375594652404056,0.4557126926635929,0.0005509450700755484,1.8467184688374039,-4.686184778051294,0.08355239404998685,6.141261772643476,4.559085709806357,-0.0006375594652404056,-0.5442873073364072,0.0005509450700755484,-2.734953348842929,-4.651686858352034,0.08355239404998685,6.141261772643476,4.559085709806357
2025-04-14T09:22:00.316756-04:00,Ask,5496.5,0.0,546375.0,5496.0,0.08340563165905632,5363.36,-0.0006409853079569355,0.4551750358584399,0.0005508614532156137,1.8446491985094795,-4.685473556411431,0.08400135195306944,6.140329714161866,4.639463315716161,-0.0006409853079569355,-0.5448249641415601,0.0005508614532156137,-2.737856408400642,-4.650939018348809,0.08400135195306944,6.140329714161866,4.639463315716161
